date,adj_close,close,high,low,open,volume,price_variation,short_ma,long_ma,signal,position,buy_signal,sell_signal,rsi,rsi_signal,rsi_buy_signal,rsi_sell_signal
2026-01-02,1.175046682357788,1.175046682357788,1.176747441291809,1.17134428024292,1.1751158237457275,0,0.0,,,0,0.0,0,0,50.0,0,0,0
2026-01-05,1.1704667806625366,1.1704667806625366,1.1718658208847046,1.166003942489624,1.1706448793411255,0,-0.0038976338,,,0,0.0,0,0,50.0,0,0,0
2026-01-06,1.1714951992034912,1.1714951992034912,1.1745359897613525,1.1684154272079468,1.1716461181640625,0,-0.0030224188,,,0,0.0,0,0,50.0,0,0,0
2026-01-07,1.1688251495361328,1.1688251495361328,1.170548915863037,1.1674468517303467,1.1687841415405273,0,-0.0052947112,,,0,0.0,0,0,50.0,0,0,0
2026-01-08,1.1676785945892334,1.1676785945892334,1.1684973239898682,1.1652837991714478,1.1677467823028564,0,-0.0062704639,,,0,0.0,0,0,50.0,0,0,0
2026-01-09,1.1657865047454834,1.1657865047454834,1.16604483127594,1.161926031112671,1.165813684463501,0,-0.0078806891,,,0,0.0,0,0,50.0,0,0,0
2026-01-12,1.1623716354370117,1.1623716354370117,1.169864296913147,1.162304162979126,1.162493348121643,0,-0.0107868454,,,0,0.0,0,0,50.0,0,0,0
2026-01-13,1.1666978597640991,1.1666978597640991,1.1675423383712769,1.1635212898254395,1.1667931079864502,0,-0.0071050986,,,0,0.0,0,0,50.0,0,0,0
2026-01-14,1.164252758026123,1.164252758026123,1.1663167476654053,1.1637108325958252,1.1643340587615967,0,-0.0091859536,,,0,0.0,0,0,50.0,0,0,0
2026-01-15,1.1646324396133423,1.1646324396133423,1.164686679840088,1.1593934297561646,1.1645103693008423,0,-0.0088628332,1.1677253603935243,,0,0.0,0,0,50.0,0,0,0
2026-01-16,1.1609008312225342,1.1609008312225342,1.1626555919647217,1.1585471630096436,1.1609547138214111,0,-0.012038544,1.1663107752799988,,0,0.0,0,0,50.0,0,0,0
2026-01-19,1.162493348121643,1.162493348121643,1.164958119392395,1.1609547138214111,1.1623852252960205,0,-0.0106832643,1.1655134320259095,,0,0.0,0,0,50.0,0,0,0
2026-01-20,1.1639139652252197,1.1639139652252197,1.1747016906738281,1.1633453369140625,1.1639952659606934,0,-0.0094742765,1.1647553086280822,,0,0.0,0,0,50.0,0,0,0
2026-01-21,1.1727865934371948,1.1727865934371948,1.1742602586746216,1.169700026512146,1.1726078987121582,0,-0.0019234035,1.1651514530181886,,0,0.0,0,0,50.0,0,0,0
2026-01-22,1.1672970056533813,1.1672970056533813,1.1750743389129639,1.167392373085022,1.167392373085022,0,-0.0065952075,1.1651132941246032,,0,0.0,0,0,26.470762334024172,1,1,0
2026-01-23,1.1754610538482666,1.1754610538482666,1.1775649785995483,1.1728966236114502,1.1753920316696167,0,0.0003526426,1.1660807490348817,,0,0.0,0,0,36.95249712206905,0,0,0
2026-01-26,1.1858457326889038,1.1858457326889038,1.1904903650283813,1.183712124824524,1.1858175992965698,0,0.009190316,1.168428158760071,,0,0.0,0,0,47.252695084727165,0,0,0
2026-01-27,1.1876484155654907,1.1876484155654907,1.1989833116531372,1.185185194015503,1.1874228715896606,0,0.0107244532,1.17052321434021,,0,0.0,0,0,48.81592720033684,0,0,0
