date,adj_close,close,high,low,open,volume,short_ma,long_ma,signal,position,buy_signal,sell_signal,rsi,rsi_signal,rsi_buy_signal,rsi_sell_signal
2023-01-02,1.0709733963012695,1.0709733963012695,1.071237325668335,1.0653257369995117,1.0709733963012695,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-03,1.0677714347839355,1.0677714347839355,1.068261981010437,1.0521553754806519,1.0677714347839355,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-04,1.0546854734420776,1.0546854734420776,1.063151240348816,1.0545964241027832,1.0546854734420776,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-05,1.0606365203857422,1.0606365203857422,1.06326425075531,1.0515578985214233,1.0606365203857422,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-06,1.0522217750549316,1.0522217750549316,1.062225103378296,1.0485258102416992,1.0522217750549316,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-09,1.0656323432922363,1.0656323432922363,1.0759514570236206,1.0652804374694824,1.0656323432922363,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-10,1.073318362236023,1.073318362236023,1.0756852626800537,1.0713175535202026,1.073318362236023,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-11,1.0738946199417114,1.0738946199417114,1.077470064163208,1.0726851224899292,1.0738946199417114,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-12,1.0766000747680664,1.0766000747680664,1.0838346481323242,1.0738024711608887,1.0766000747680664,0,,,0,0.0,0,0,50.0,0,0,0
2023-01-13,1.0860239267349243,1.0860239267349243,1.0867793560028076,1.0780625343322754,1.0860239267349243,0,1.0681757926940918,,0,0.0,0,0,50.0,0,0,0
2023-01-16,1.082461953163147,1.082461953163147,1.0875475406646729,1.080263614654541,1.082461953163147,0,1.0693246483802796,,0,0.0,0,0,50.0,0,0,0
2023-01-17,1.0830129384994507,1.0830129384994507,1.086909294128418,1.0787020921707153,1.0830129384994507,0,1.0708487987518311,,0,0.0,0,0,50.0,0,0,0
2023-01-18,1.0793308019638062,1.0793308019638062,1.0884472131729126,1.0767043828964233,1.0793308019638062,0,1.073313331604004,,0,0.0,0,0,50.0,0,0,0
2023-01-19,1.0797853469848633,1.0797853469848633,1.0833063125610352,1.0782949924468994,1.0797853469848633,0,1.075228214263916,,0,0.0,0,0,50.0,0,0,0
2023-01-20,1.083388328552246,1.083388328552246,1.0856584310531616,1.0804619789123535,1.083388328552246,0,1.0783448696136475,,0,0.0,0,0,45.34734789586541,0,0,0
2023-01-23,1.086507797241211,1.086507797241211,1.0919533967971802,1.0847516059875488,1.0864723920822144,0,1.080432415008545,,0,0.0,0,0,48.28539684644655,0,0,0
2023-01-24,1.0874292850494385,1.0874292850494385,1.089680790901184,1.0839285850524902,1.0874292850494385,0,1.0818435072898864,,0,0.0,0,0,49.15493814173497,0,0,0
2023-01-25,1.088814616203308,1.088814616203308,1.0922634601593018,1.0858116149902344,1.088814616203308,0,1.0833355069160462,,0,0.0,0,0,50.50237996607728,0,0,0
2023-01-26,1.0922038555145264,1.0922038555145264,1.0932546854019165,1.0851635932922363,1.0922038555145264,0,1.0848958849906922,,0,0.0,0,0,53.73286107334836,0,0,0
2023-01-27,1.0894432067871094,1.0894432067871094,1.0901559591293335,1.0838816165924072,1.0894432067871094,0,1.0852378129959106,,0,0.0,0,0,50.823224790449004,0,0,0
2023-01-30,1.0871455669403076,1.0871455669403076,1.0915005207061768,1.0854581594467163,1.0871455669403076,0,1.0857061743736267,,0,0.0,0,0,48.47070356737163,0,0,0
2023-01-31,1.0850694179534912,1.0850694179534912,1.0868383646011353,1.0804152488708496,1.0850694179534912,0,1.0859118223190307,,0,0.0,0,0,46.381515614751585,0,0,0
2023-02-01,1.0860947370529175,1.0860947370529175,1.092442512512207,1.085293173789978,1.0860947370529175,0,1.0865882158279419,,0,0.0,0,0,47.58310124632567,0,0,0
2023-02-02,1.1012852191925049,1.1012852191925049,1.102657437324524,1.088767170906067,1.1012852191925049,0,1.088738203048706,,0,0.0,0,0,61.38861954859371,0,0,0
2023-02-03,1.0905125141143799,1.0905125141143799,1.094067931175232,1.0811045169830322,1.0905125141143799,0,1.0894506216049193,,0,0.0,0,0,51.108218998522126,0,0,0
2023-02-06,1.079086184501648,1.079086184501648,1.0800302028656006,1.0718343257904053,1.079086184501648,0,1.0887084603309631,,0,0.0,0,0,42.90163096894124,0,0,0
2023-02-07,1.0730764865875244,1.0730764865875244,1.0745997428894043,1.0669511556625366,1.0730764865875244,0,1.0872731804847717,,0,0.0,0,0,39.32502218186462,0,0,0
2023-02-08,1.0729728937149048,1.0729728937149048,1.0760208368301392,1.0716849565505981,1.0729728937149048,0,1.0856890082359314,,0,0.0,0,0,39.26425670168106,0,0,0
2023-02-09,1.0715816020965576,1.0715816020965576,1.0790396928787231,1.0711569786071777,1.0715816020965576,0,1.0836267828941346,,0,0.0,0,0,38.40591724740929,0,0,0
2023-02-10,1.0742292404174805,1.0742292404174805,1.0751763582229614,1.0669283866882324,1.0742292404174805,0,1.0821053862571717,1.078506330649058,0,0.0,0,0,41.04706268482264,0,0,0
2023-02-13,1.0677714347839355,1.0677714347839355,1.0725010633468628,1.065723180770874,1.0677714347839355,0,1.0801679730415343,1.0783995985984802,0,0.0,0,0,36.89183714198683,0,0,0
2023-02-14,1.0730419158935547,1.0730419158935547,1.0798436403274536,1.0709964036941528,1.0730419158935547,0,1.0789652228355409,1.078575281302134,0,0.0,0,0,42.048046824214886,0,0,0
2023-02-15,1.0735719203948975,1.0735719203948975,1.0744600296020508,1.0665984153747559,1.0735719203948975,0,1.0777129411697388,1.079204829533895,-1,0.0,0,1,42.55632472931956,0,0,0
2023-02-16,1.0691757202148438,1.0691757202148438,1.0722250938415527,1.0655754804611206,1.0691757202148438,0,1.0745019912719727,1.0794894695281982,0,0.0,0,0,39.464450637403495,0,0,0
2023-02-17,1.0665756464004517,1.0665756464004517,1.0681477785110474,1.0613795518875122,1.0665756464004517,0,1.07210830450058,1.0799679319063822,0,0.0,0,0,37.71898776060457,0,0,0
2023-02-20,1.0684444904327393,1.0684444904327393,1.0705492496490479,1.0671560764312744,1.0684444904327393,0,1.071044135093689,1.080061670144399,0,0.0,0,0,39.7806278106328,0,0,0
2023-02-21,1.068261981010437,1.068261981010437,1.0695644617080688,1.0644866228103638,1.068261981010437,0,1.0705626845359801,1.079893124103546,0,0.0,0,0,39.642615953221,0,0,0
2023-02-22,1.065200924873352,1.065200924873352,1.0665528774261475,1.0619093179702759,1.065200924873352,0,1.069785487651825,1.079603334267934,0,0.0,0,0,37.30495270585057,0,0,0
2023-02-23,1.0605803728103638,1.0605803728103638,1.0630381107330322,1.0582010746002197,1.0605803728103638,0,1.0686853647232055,1.0790693442026773,0,0.0,0,0,34.04178615750449,0,0,0
2023-02-24,1.0598047971725464,1.0598047971725464,1.0614246129989624,1.053774118423462,1.0598047971725464,0,1.0672429203987122,1.0781953732172649,0,0.0,0,0,33.511894958281204,0,0,0
2023-02-27,1.0554758310317993,1.0554758310317993,1.0618642568588257,1.0533522367477417,1.0554758310317993,0,1.0660133600234984,1.0772958358128866,0,0.0,0,0,30.644595974232658,0,0,0
2023-02-28,1.0611205101013184,1.0611205101013184,1.0645002126693726,1.058234691619873,1.0611205101013184,0,1.064821219444275,1.0765660881996155,0,0.0,0,0,38.083671070890304,0,0,0
2023-03-01,1.0577309131622314,1.0577309131622314,1.0691070556640625,1.0565686225891113,1.0577309131622314,0,1.0632371187210083,1.0758460919062296,0,0.0,0,0,35.61339495088542,0,0,0
2023-03-02,1.066894292831421,1.066894292831421,1.067270040512085,1.0583466291427612,1.066894292831421,0,1.063008975982666,1.075416390101115,0,0.0,0,0,45.84091459023708,0,0,0
2023-03-03,1.0599732398986816,1.0599732398986816,1.062925100326538,1.0591312646865845,1.0599732398986816,0,1.062348735332489,1.074635887145996,0,0.0,0,0,40.59577762263565,0,0,0
2023-03-06,1.0626201629638672,1.0626201629638672,1.0693814754486084,1.062304139137268,1.0626201629638672,0,1.061766302585602,1.0738396326700845,0,0.0,0,0,43.26925126119163,0,0,0
2023-03-07,1.0688328742980957,1.0688328742980957,1.06963312625885,1.0571606159210205,1.0688328742980957,0,1.0618233919143676,1.0732197523117066,0,0.0,0,0,49.06368084053015,0,0,0
2023-03-08,1.05507493019104,1.05507493019104,1.0573283433914185,1.0526647567749023,1.05507493019104,0,1.0608107924461365,1.0720950961112976,0,0.0,0,0,39.45344307749071,0,0,0
2023-03-09,1.0549525022506714,1.0549525022506714,1.0586491823196411,1.053851842880249,1.0549525022506714,0,1.0602480053901673,1.0708533843358359,0,0.0,0,0,39.37952406525456,0,0,0
2023-03-10,1.0584698915481567,1.0584698915481567,1.0698620080947876,1.0575743913650513,1.0584698915481567,0,1.0601145148277282,1.0698209404945374,0,0.0,0,0,42.70108497955452,0,0,0
2023-03-13,1.0683646202087402,1.0683646202087402,1.0737217664718628,1.0652350187301636,1.0683646202087402,0,1.0614033937454224,1.0691949089368185,0,0.0,0,0,50.85828841009302,0,0,0
2023-03-14,1.0725010633468628,1.0725010633468628,1.0747140645980835,1.0679652690887451,1.0725010633468628,0,1.0625414490699767,1.0687759637832641,0,0.0,0,0,53.81816710714522,0,0,0
2023-03-15,1.0727657079696655,1.0727657079696655,1.0760092735290527,1.052033543586731,1.0727657079696655,0,1.0640449285507203,1.0683316628138224,0,0.0,0,0,54.00902798700656,0,0,0
2023-03-16,1.0583354234695435,1.0583354234695435,1.063456416130066,1.0555092096328735,1.0583354234695435,0,1.0631890416145324,1.0669000029563904,0,0.0,0,0,43.4615726323149,0,0,0
2023-03-17,1.0614134073257446,1.0614134073257446,1.0669625997543335,1.0612106323242188,1.0614134073257446,0,1.0633330583572387,1.0659300327301025,0,0.0,0,0,45.88898276445594,0,0,0
2023-03-20,1.0678855180740356,1.0678855180740356,1.0730534791946411,1.0632416009902954,1.0678855180740356,0,1.0638595938682556,1.0655566771825156,0,0.0,0,0,50.6836115322245,0,0,0
2023-03-21,1.071914792060852,1.071914792060852,1.0787253379821777,1.070491909980774,1.071914792060852,0,1.0641677856445313,1.0655179540316264,0,0.0,0,0,53.44904627603166,0,0,0
2023-03-22,1.0774236917495728,1.0774236917495728,1.0801469087600708,1.0759514570236206,1.0774236917495728,0,1.0664026618003846,1.0656663139661153,1,0.0,1,0,56.99938330322986,0,0,0
2023-03-23,1.0870392322540283,1.0870392322540283,1.0928997993469238,1.0868619680404663,1.0870392322540283,0,1.0696113348007201,1.0661815683046976,0,1.0,0,0,62.39107921738285,0,0,0
2023-03-24,1.0835057497024536,1.0835057497024536,1.0839003324508667,1.0718917846679688,1.0835057497024536,0,1.07211492061615,1.0664907852808634,0,0.0,0,0,59.441536656215156,0,0,0
2023-03-27,1.077818512916565,1.077818512916565,1.0795999765396118,1.074806571006775,1.077818512916565,0,1.0730603098869325,1.0668256878852844,0,0.0,0,0,54.93958730498222,0,0,0
2023-03-28,1.0807071924209595,1.0807071924209595,1.08489990234375,1.0804035663604736,1.0807071924209595,0,1.073880922794342,1.0670811971028646,0,0.0,0,0,56.73208766213732,0,0,0
2023-03-29,1.0839520692825317,1.0839520692825317,1.0871999263763428,1.0821340084075928,1.0839520692825317,0,1.0749995589256287,1.0674272020657858,0,0.0,0,0,58.71864704749286,0,0,0
